Site,Platform,ElementType,Label,Description,ByType,By
All,All,Button,editAd_btnClickHPGallery,click homepage gallery button,xpath,"//label[@name='hpGallery' and contains(@class,'checkbox')]"
All,All,Label,editAd_lblHPGallery,homepage gallery label,xpath,"//span[@name='hpGallery' and contains(@class,'checkbox')]"
All,All,Label,editAd_lblHPGallery3.0,homepage gallery label,xpath,"//span[@class='label-of-checkbox' and contains(text(),'Galería Principal')]"
All,All,CheckBox,editAd_chbSRPGallery,srp gallery checkbox,xpath,"//input[@name='srpGallery' and contains(@class,'checkbox')]"
All,All,Button,editAd_btnClickSRPGallery,click srp gallery button,xpath,"//label[@name='srpGallery' and contains(@class,'checkbox')]"
All,All,Label,editAd_lblSRPGallery,srp gallery label,xpath,"//span[@name='srpGallery' and contains(@class,'checkbox')]"
All,All,Label,editAd_lblSRPGallery3.0,srp gallery label,xpath,"//span[@class='label-of-checkbox' and contains(text(),'Galería de categorías')]"
All,All,CheckBox,editAd_chbTopAd,top ad checkbox,xpath,"//input[@name='topAd' and contains(@class,'checkbox')]"
All,All,Button,editAd_btnClickTopAd,top ad button,xpath,"//label[@name='topAd' and contains(@class,'checkbox')]"
All,All,Label,editAd_lblTopAd,top ad label,xpath,"//span[@name='topAd' and contains(@class,'checkbox')]"
All,All,Label,editAd_lblTopAd3.0,top ad label,xpath,"//span[@class='label-of-checkbox' and contains(text(),'Destacado')]"
mx_vns,All,CheckBox,editAd_chbBumpUp,bumpUp checkbox,xpath,"//input[@name='bumpUpXY' and contains(@class,'checkbox')]"
za,All,CheckBox,editAd_chbBumpUp,bumpUp checkbox,xpath,"//input[@name='bumpUp' and contains(@class,'checkbox')]"
All,All,Button,editAd_btnClickBumpUp,click bumpUp button,xpath,"//label[@name='bumpUpXY' and contains(@class,'checkbox')]"
All,All,Label,editAd_lblBumpUp,bumpUp label,xpath,"//span[@name='bumpUpXY' and contains(@class,'checkbox')]"
All,All,Label,editAd_lblBumpUp3.0,bumpUp label,xpath,"//span[@class='label-of-checkbox' and contains(text(),'Primeros Resultados')]"
All,All,CheckBox,editAd_chbHighlight,highlight checkbox,xpath,"//input[@name='highlight' and contains(@class,'checkbox')]"
All,All,Button,editAd_btnClickHighlight,highlight button,xpath,"//label[@name='highlight' and contains(@class,'checkbox')]"
All,All,Label,editAd_lblHighlight,highlight label,xpath,"//span[@name='highlight' and contains(@class,'checkbox')]"
All,All,Label,editAd_lblHighlight3.0,highlight label,xpath,"//span[@class='label-of-checkbox' and contains(text(),'Resalta tu Aviso')]"
