Site,Platform,ElementType,Label,Description,ByType,By
All,All,TextField,postAd_txfPhoneInput,the textfield of phone number input,xpath,"//input[(@title='teléfono' or @title='phone') and contains(@class,'has-input-buttons')]"
All,All,TextField,postAd_txfPhoneInput3.0,the textfield of phone number input,xpath,"//div[@class='phone-wrapper']//input"
All,All,Label,postAd_lblPhoneLabel3.0,the phone label,xpath,"//div[@class='phone-label']/div[@class='label']"
All,All,Label,postAd_lblPhoneOptional3.0,the phone optional,xpath,"//div[@class='phone-label']/div[@class='optional']"
All,All,Label,postAd_lblPhoneValidTrue3.0,the phone optional,xpath,"//div[@class='phone-label']//span[@class='icon-valid-true']"
All,All,RadioButton,postAd_rbMXN,the radio of MXN,xpath,"//label[@for='price-choose-MXN']"
All,All,RadioButton,postAd_rbMXN3.0,the radio of MXN,xpath,"//span[text()='MXN']"
All,All,RadioButton,postAd_rbUSD,the radio of USD,xpath,"//label[@for='price-choose-USD']"
All,All,RadioButton,postAd_rbUSD3.0,the radio of USD,xpath,"//span[text()='USD']"
All,All,Label,postAd_lblPriceVisual3.0,the icon of  price visual on post ad page,xpath,"//div[@class='postad-tip-content' and contains(text(),'precio')]"
All,All,TextField,postAd_txfPriceLabel3.0,the price label,xpath,"//div[@class='price-label']/div[@class='label']"
All,All,TextField,postAd_txfPriceOptional3.0,the price required,xpath,"//div[@class='price-label']/div[@class='optional']"
All,All,TextField,postAd_txfPriceValidTrue3.0,the price checked,xpath,"//div[@class='price-label']//span[@class='icon-valid-true']"
All,All,TextField,postAd_txfPriceInput,the input of price,xpath,"//div[contains(@class,'input-wrapper price-amount')]//input[contains(@class,'price-input') and not(contains(@style,'display'))]"
All,All,TextField,postAd_txfPriceInput3.0,the input of price,xpath,"//div[contains(@class,'price-input')]//input"
za,All,Label,postAd_lblPriceInput,the label of price,xpath,"//div[contains(@class,'price-input')]"
za,All,Button,postAd_btnPriceType,the price list on post 3.0 page,xpath,"//select[contains(@class,'price-type')]"
za,All,Label,postAd_btnPriceTypeFree,the price list on post 3.0 page,xpath,"//option[@value='FREE']"
All,landscape,Button,postAd_btnPostAd,the button of post ad,xpath,"//span[contains(text(),'Publicar Anuncio') or contains(text(),'Post My Ad')]"
All,portrait,Button,postAd_btnPostAd,the button of post ad,xpath,"//div[@id='post-submit-button']//a"
All,All,Label,postAd_pnlSignSelect,the panel of signselect,xpath,"//div[@class='login-modal']"
All,All,Label,postAd_pnlSignSelectTitle,the title of panel of signselect,xpath,"//div[@class='login-modal']/div[@class='login-title']"
All,All,Button,postAd_btnSignIn,the button of sign in on post page,xpath,"//div[contains(@class,'email-login-btn')]//span[@class='btn']"
All,All,Button,postAd_btnFBSignIn,button for facebook signin,xpath,"//div[@class='fb-desktop']"
All,All,Link,postAd_lnkRegister,the link of register user,xpath,"//span[@class='register-link']"
