Site,Platform,ElementType,Label,Description,ByType,By
All,All,TextField,cvip_txtReplyRealPhone,the real phone on reply form,xpath,"//div[@class='reply-form-content']//div[@class='seller-phone']/div/span[@class='real-phone']"
All,All,TextField,cvip_txtReplyMessages,the reply messages,xpath,"//div[@class='reply-form-content']//div[@class='reply-input']//textarea[@name='replyMessage']"
All,All,TextField,cvip_txtReplyDisponible,the reply disponible texts ,xpath,"//div[@class='reply-form-content']//div[@class='reply-input']//input[@name='disponibleText']"
All,All,TextField,cvip_txtReplyBuyerName,the reply buyerName texts ,xpath,"//div[@class='reply-form-content']//div[@class='reply-input']//input[@name='buyerName']"
All,All,TextField,cvip_txtReplyEmail,the reply email texts ,xpath,"//div[@class='reply-form-content']//div[@class='reply-input']//input[@name='email']"
All,All,TextField,cvip_txtReplyPhoneNumber,the reply phoneNumber texts ,xpath,"//div[@class='reply-form-content']//div[@class='reply-input']//input[@name='phoneNumber']"
All,All,Button,cvip_lblSubmitReplyButton,the submit reply button in cvip,xpath,"//div[@class='reply-form-content']//div[@class='reply-submit-button']"
All,All,Label,cvip_lblReplyTerms,the sticky reply form terms,xpath,"//div[@class='reply-form-content']//div[@class='reply-terms']"
All,All,Link,cvip_lnkLoginLink,the login link on the sticky reply,xpath,"//div[@class='reply-form-content']//a[@class='login-link']"
All,All,Label,cvip_lblReplyNameError,the error message for reply name,xpath,"(//div[@class='reply-form-content']//div[@class='reply-input']//div[@class='invalid-hint']/span)[1]"
All,All,Label,cvip_lblReplyEmailError,the error message for reply email,xpath,"(//div[@class='reply-form-content']//div[@class='reply-input']//div[@class='invalid-hint']/span)[2]"
All,All,Label,cvip_lblReplyPhoneError,the error message for reply phone,xpath,"(//div[@class='reply-form-content']//div[@class='reply-input']//div[@class='invalid-hint']/span)[3]"
All,All,Label,cvip_lblH1Tag,h1 tag for new development landing page,xpath,"//h1/div[@class='title']"
All,All,Button,cvip_btnMessage,message button for mobile breakpoint,xpath,"//div[@class='revip-sticky-contact-v2']//div[@class='reply']/a"
All,All,Button,cvip_btnPhone,phone button for mobile breakpoint,xpath,"//div[@class='revip-sticky-contact-v2']//div[@class='make-call']/a"
All,All,Button,cvip_btnSMS,SMS button for mobile breakpoint,xpath,"//div[@class='revip-sticky-contact-v2']//div[@class='send-sms']/a"
All,All,Lable,cvip_lblDeliveryDateIcon,icon for devivery date,xpath,"//div[@class='development-details-container']//div[@class='detail-icons icon-deliverydate']"
All,All,Lable,cvip_lblLotSizeIcon,icon for lotsize,xpath,"//div[@class='development-details-container']//div[@class='detail-icons icon-lotsize']"
All,All,Lable,cvip_lblYearBuildIcon,icon for year built,xpath,"//div[@class='development-details-container']//div[@class='detail-icons icon-year']"
All,landscape,Link,developmentLnkTabDesarrollo,the ad units,xpath,"//span[contains(@class,'nav-link') and contains(text(),'Desarrollo')]"
All,All,Lable,developmentProjectTabImage, image of project,xpath,"//div[@class='nd-project-tab']//div[@class='project-image']"
All,All,TextField,cvip_txtReplyAvailableDate,the reply available date in cvip ,xpath,"//div[@class='input-wrapper']//input[contains(@class,'ws-date')]"
All,All,TextField,cvip_txtReplyAvailableTime,the reply available time in cvip ,xpath,"//div[@class='input-wrapper']//input[contains(@class,'ws-time')]"
All,All,Button,cvip_ConfirmDateButton,the hoy button for date picker in cvip reply form,xpath,"//div[@class='ws-button-row']//button[1]"
All,All,Button,cvip_ClearDateButton,the hoy button for date picker in cvip reply form,xpath,"//div[@class='ws-button-row']//button[2]"
All,All,TextField,cvip_txtReplyTimeDispaly,the reply available time in cvip ,xpath,"//div[@class='input-wrapper']//input[@type='time']/../../../div[@class='']/div[@class='label']/div[@class='name']/span"
All,All,Label,cvip_UnitsNewDesign,the ad units element wrapper,xpath,"//div[@class='nd-units-wrapper']"
All,All,Label,cvip_UnitsNewDesignFilterTabAll,the ad units new design filter tab,xpath,"(//div[@class='nd-units-wrapper']//ul[@class='units-filter']//li)[1]"
All,All,Label,cvip_UnitsNewDesignFilterTabNoBedroom,the ad units new design filter tab,xpath,"(//div[@class='nd-units-wrapper']//ul[@class='units-filter']//li)[2]"
All,All,Label,cvip_UnitsNewDesignFilterTabOneBedroom,the ad units new design filter tab,xpath,"(//div[@class='nd-units-wrapper']//ul[@class='units-filter']//li)[3]"
