Site,Platform,ElementType,Label,Description,ByType,By
mx_vns,desktop,Link,headerV3_lnkCat1DropDown_3,the 3rd category in the first drop down in the new header,xpath,"//div[@class='headerV3 sticky-nav']//li[@class='menu-dropdown-l1 menu-dropdown-l10']/ul/li[4]/a"
mx_vns,tablet,Link,headerV3_lnkCat1DropDown_3,the 3rd category in the first drop down in the new header,xpath,"//div[@class='headerV3']//li[contains(@class,'menu-dropdown-l1') and contains(@class,'menu-dropdown-l10')]/ul/li[4]/a"
mx_vns,desktop,Link,headerV3_lnkCat1DropDown_4,the 4th category in the first drop down in the new header,xpath,"//div[@class='headerV3 sticky-nav']//li[@class='menu-dropdown-l1 menu-dropdown-l10']/ul/li[5]/a"
mx_vns,tablet,Link,headerV3_lnkCat1DropDown_4,the 4th category in the first drop down in the new header,xpath,"//div[@class='headerV3']//li[contains(@class,'menu-dropdown-l1') and contains(@class,'menu-dropdown-l10')]/ul/li[5]/a"
mx_vns,desktop,Link,headerV3_lnkCat1DropDown_5,the 5th category in the first drop down in the new header,xpath,"//div[@class='headerV3 sticky-nav']//li[@class='menu-dropdown-l1 menu-dropdown-l10']/ul/li[6]/a"
mx_vns,tablet,Link,headerV3_lnkCat1DropDown_5,the 5th category in the first drop down in the new header,xpath,"//div[@class='headerV3']//li[contains(@class,'menu-dropdown-l1') and contains(@class,'menu-dropdown-l10')]/ul/li[6]/a"
mx_vns,desktop,Link,headerV3_lnkCat2DropDown_0,the 0 category in the second category drop down in the new header,xpath,"//div[@class='headerV3 sticky-nav']//li[@class='menu-dropdown-l1 menu-dropdown-l11']/ul/li[1]/a"
mx_vns,tablet,Link,headerV3_lnkCat2DropDown_0,the 0 category in the second category drop down in the new header,xpath,"//div[@class='headerV3']//li[contains(@class,'menu-dropdown-l1') and contains(@class,'menu-dropdown-l11')]/ul/li[1]/a"
mx_vns,desktop,Link,headerV3_lnkCat2DropDown_1,the 1st category in the second category drop down in the new header,xpath,"//div[@class='headerV3 sticky-nav']//li[@class='menu-dropdown-l1 menu-dropdown-l11']/ul/li[2]/a"
mx_vns,tablet,Link,headerV3_lnkCat2DropDown_1,the 1st category in the second category drop down in the new header,xpath,"//div[@class='headerV3']//li[contains(@class,'menu-dropdown-l1') and contains(@class,'menu-dropdown-l11')]/ul/li[2]/a"
