Site,Platform,ElementType,Label,Description,ByType,By
All,All,TextField,srp_txtBreadcrumb,text of breadcrumb,xpath,"//div[@id='breadcrumbLinks']"
All,All,Label,srp_lblGreenFrameLandscape,green frame on SRP,xpath,"//div[@id='tileRedesign']//div[@class='controls LandscapeMode isFeaturedTile']"
All,All,Label,srp_lblGreenFrameGallery,green frame on SRP,xpath,"//div[@class='tileImgWrapper galleryMode isFeaturedTile']"
All,All,Label,srp_lblGreenFrame,green frame on SRP,xpath,"//div[contains(@class,'tileImgWrapper') and contains(@class,'isFeaturedTile')]"
All,All,Label,srp_imgWhiteBolt,green frame on SRP,xpath,"//div[@id='tileRedesign']//div[contains(@class,'promoted-mark labeled')]//i[@class='icon-blitz-white']"
All,All,Label,srp_imgWhiteBoltGallery,green frame on SRP,xpath,"//div[contains(@class,'featured-gallery srp-featured-gallery')]//i[@class='icon-blitz-white']"
All,All,Label,srp_lblPortraitHighlightLabel,the highlight feature label on SRP on portrait mode,xpath,"//div[@class='tile-promoted-features one-liner HIGHLIGHT_AD']"
All,All,Label,srp_lblLandscapeHighlightLabel,the highlight feature label on SRP on landscape mode,xpath,"//div[@class='tile-promoted-features one-liner HIGHLIGHT_AD']"
All,All,Label,srp_lblPortraitTopAdLabel,the top ad feature label on SRP on portrait mode,xpath,"//div[@class='tile-promoted-features one-liner TOP_AD']/span"
All,All,Label,srp_lblLandscapeTopAdLabel,the top ad feature label on SRP on landscape mode,xpath,"//div[@class='tile-promoted-features one-liner TOP_AD']/span"
All,All,Label,srp_lblPortraitHPGalleryLabel,the HPGallery feature label on SRP on portrait mode,xpath,"//div[@class='tileInfoWrapper portraitMode isFeaturedTile HOME_PAGE_GALLERY']"
All,All,Label,srp_lblLandscapeHPGalleryLabel,the HPGallery feature label on SRP on landscape mode,xpath,"//div[@class='tileInfoWrapper LandscapeMode isFeaturedTile HOME_PAGE_GALLERY']"
All,All,Label,srp_lblPortraitSRPGalleryLabel,the SRPGallery feature label on SRP on portrait mode,xpath,"//div[@class='tileInfoWrapper portraitMode isFeaturedTile SRP_GALLERY']"
All,All,Label,srp_lblLandscapeSRPGalleryLabel,the SRPGallery feature label on SRP on landscape mode,xpath,"//div[@class='tileInfoWrapper LandscapeMode isFeaturedTile SRP_GALLERY']"
All,All,TextField,srp_txfFeatureTextGallery,the feature text on srp,xpath,"//div[contains(@class,'featured-gallery srp-featured-gallery')]//span[@class='label']"
All,All,Label,srp_imgUrgentLabel,Urgent label on SRP,xpath,"//div[@id='tileRedesign']//div[contains(@class,'promoted-mark labeled')]//span[@class='label URGENT_AD']"
All,All,Label,srp_imgHighlightTile,Highlight tile on SRP,xpath,"//div[@id='tile-panel']//div[contains(@class,'tileInfoWrapper portraitMode isFeaturedTile') and contains(@class,'HIGHLIGHT_AD')]"
All,All,Label,srp_lblAdTilePortraitMode,ad tile portrait mode,xpath,"//div[contains(@class,'tileV2')]"
All,All,Label,srp_lblAdTileLandscapeMode,ad tile landscape mode,xpath,"//div[contains(@class,'tileV2')]"
All,All,Label,srp_lblAdTileDescription,ad tile description,xpath,"//div[@id='tileRedesign']//div[contains(@class,'tile-desc')]"
All,All,Link,srp_lnkAdTileDescReadMore,read more for ad tile description,xpath,"//div[@class='tile-desc']//span[@class='readmore']"
All,All,Label,srp_lblAdTilePhotoCount,ad tile photo count,xpath,"//div[@id='tileRedesign']//span[@class='tile-photo']"
All,All,Label,srp_lblAdTileViewCount,ad tile view count,xpath,"//div[@class='viewport-contents']//div[@class='view-container']/span[@class='view-count']"
All,All,Label,srp_lblAdTileViewCountIcon,ad tile view count icon,xpath,"//div[@class='viewport-contents']//div[@class='view-container']/span[@class='icon-views']"
All,All,Link,srp_lnkAdLinkGalleryMode,ad link in gallery mode,xpath,"//div[contains(@class,'controls galleryMode')]/a"
All,All,Link,srp_lnkAdLinkPortraitMode,ad link in portrait mode,xpath,"//div[contains(@class,'controls portraitMode')]/a"
All,All,Link,srp_lnkAdLinkLandscapeMode,ad link in landscape mode,xpath,"//div[contains(@class,'controls LandscapeMode')]/a"
All,All,Button,srp_btnAddFilterBtn,add filter button on SRP,xpath,"//div[@id='filterBtn']"
All,All,Button,srp_btnAddFilter,add filter button on SRP,xpath,"//div[@class='filter']/span"
All,All,Button,srp_btnCancelFilter,cancel filter at the bottom of filter screen-takeover on srp,xpath,"//div[@class='filterButton']//div[@class='cancel']"
All,All,Button,srp_btnCloseFilter,close filter of filter screen-takeover on srp,xpath,"//section[@id='filterScreenTakeOver']//header//span[@class='close-text']"
