Site,Platform,ElementType,Label,Description,ByType,By
All,All,TextField,payment_txfTax2dot0,text of tax in payment 2dot0 page,xpath,//div[@class='order-total-price price-tab']/span[@class='order-tax']
All,All,TextField,payment_txfHeaderTitle,text of header title in payment 2dot0 page,xpath,"//div[@class='title-text']"
All,All,TextField,payment_txfPostFeeHeader,text of post fee header in payment 2dot0 page,xpath,"//div[@class='posting-fee-header']"
All,All,TextField,payment_txfPaymentMethodTab,text of payment types tab in payment 2dot0 page,xpath,"//div[@class='choose-payment-option']/span"
za,All,TextField,payment_txfPMBank,text of payment method internet banking in payment 2dot0 page,xpath,"//div[@class='payment-section payment-ap']//span[@class='payment-type-control-dscr']"
za,All,RadioButton,payment_rbPMBank,visa,xpath,"//div[@class='payment-section payment-ap']//div[@class='outer-circle']"
All,All,TextField,payment_txfOrderTitle,text of order summary title in payment 2dot0 page,xpath,"//div[@class='order-summary-title']"
All,All,Label,payment_imgLock,label of privacy policy lock icon in payment 2dot0 page,xpath,"//div[@class='privacy-policy-label']/span"
All,All,TextField,payment_txfPostingFee,text of IF message in payment 2dot0 page,xpath,"//div[@class='posting-fee']"
All,All,Link,payment_lnkProtoolLinkNew,link to protool page in payment 2dot0 page,xpath,"//div[@class='business-service']/a[1]"
All,All,Label,payment_lblProtoolAngleRight,the right angel to protool page in payment 2dot0 page,xpath,"//div[@class='business-service']//span[@class='icon-angle-right-gray']"
All,All,TextField,payment_txfPaymentResultHeader,text of payment result header in payment 2dot0 page,xpath,"//div[@class='payment-result-head']"
All,All,TextField,payment_txfPaymentOrderInfo,text of payment order info in payment 2dot0 page,xpath,"//div[@class='payment-order-info']"
All,All,TextField,payment_txfPaymentResultMail,text of payment result mail in payment 2dot0 page,xpath,"//div[@class='payment-result-mail']"
All,All,TextField,payment_txfPaymentMethodHeader,text of payment method header in payment 2dot0 page,xpath,"//div[@class='payment-method-head']"
All,All,TextField,payment_txfPaymentMethodBody,text of payment method body in payment 2dot0 page,xpath,"//div[@class='payment-method-body']"
All,All,TextField,payment_txfIF,text of insertion fee in payment 2dot0 page,xpath,"//div[@class='price-tab']/span[contains(text(),'Tarifa') or contains(text(),'Insertion')]"
All,All,TextField,payment_txfIFPrice,text of insertion fee price in payment 2dot0 page,xpath,"//div[@class='price-tab']/span[contains(text(),'Tarifa') or contains(text(),'Insertion')]/../span[@class='price-amount']"
All,All,Button,payment_btnHpGalleryQuestionMark,homepage gallery question mark,xpath,"//div[@class='promote-form']//span[@class='feature-more icon-question-mark' and @name='hpGallery']"
All,All,Button,payment_btnSrpGalleryQuestionMark,srp gallery question mark,xpath,"//div[@class='promote-form']//span[@class='feature-more icon-question-mark' and @name='srpGallery']"
All,All,Button,payment_btnTopAdQuestionMark,topAd question mark,xpath,"//div[@class='promote-form']//span[@class='feature-more icon-question-mark' and @name='topAd']"
All,All,Button,payment_btnHpGalleryQuestionMark3.0,HpGallery question mark,xpath,"//div[@class='promote-form']//span[contains(text(),'Galería Principal') or contains(text(),'Homepage gallery')]/..//span[@class='feature-more icon-question-mark']"
All,All,Button,payment_btnSrpGalleryQuestionMark3.0,SrpGallery question mark,xpath,"//div[@class='promote-form']//span[contains(text(),'Galería de categorías') or contains(text(),'Category gallery')]/..//span[@class='feature-more icon-question-mark']"
