Site,Platform,ElementType,Label,Description,ByType,By
mx_vns,All,Label,mHP_lblCloseIcon,the xpath for success message icon,xpath,"//span[@class='icon-gl-message-close']"
mx_vns,All,Link,mHP_lnkSubNavFirstLink,the xpath for the first link in the sub-nav,xpath,"//div[@class='sectionMenuWrapper']/ul/li[1]/a"
mx_vns,All,Link,mHP_lnkSubNavSecLink,the xpath for the first link in the sub-nav,xpath,"//div[@class='sectionMenuWrapper']/ul/li[2]/a"
mx_vns,All,Link,mHP_lnkSubNavThirdLink,the xpath for the first link in the sub-nav,xpath,"//div[@class='sectionMenuWrapper']/ul/li[3]/a"
mx_vns,All,Link,mHP_lnkSubNavForthLink,the xpath for the first link in the sub-nav,xpath,"//div[@class='sectionMenuWrapper']/ul/li[4]/a"
mx_vns,All,Link,mHP_lnkSubNavFifthLink,the xpath for the first link in the sub-nav,xpath,"//div[@class='sectionMenuWrapper']/ul/li[5]/a"
mx_vns,All,Link,mHP_lnkSubNavSixLink,the xpath for the first link in the sub-nav,xpath,"//div[@class='sectionMenuWrapper']/ul/li[6]/a"
mx_vns,All,Button,mHP_btnPostAdStickyButton,the xpath for the post ad sticky button,xpath,"//div[@class='stickybottom login-button btn-wrapper']/a/span[1]"
mx_vns,All,Label,mHP_lblHouseIcon,xpath for house icon in intention menu part,xpath,"//span[@class='menu-icon icon-home-small']"
mx_vns,All,Label,mHP_lblBedroomsIcon,xpath for bedrooms icon in intention menu part,xpath,"//span[@class='menu-icon icon-bedrooms-small']"
mx_vns,All,Label,mHP_lblPriceIcon,xpath for price icon in intention menu part,xpath,"//span[@class='menu-icon icon-price-icon-full']"
mx_vns,All,Label,mHP_lblSearchIcon,xpath for search icon in intention menu part,xpath,"//span[@class='search-icon icon-search-small']"
mx_vns,landscape,Label,mHP_lblBuyHouseSelectBoxText,xpath for buy house type select box in buy tab in intention menu part,xpath,"//div[@id='buy-select']/div[@class='bolt-dropdown-box']"
mx_vns,portrait,Label,mHP_lblBuyHouseSelectBoxText,xpath for buy house type select box in buy tab in intention menu part,xpath,"//select[@id='buy-select']/option[1]"
mx_vns,landscape,Label,mHP_lblRentHouseSelectBoxText,xpath for rent house type select box in rent tab in intention menu part,xpath,"//div[@id='rent-select']/div[@class='bolt-dropdown-box']"
mx_vns,portrait,Label,mHP_lblRentHouseSelectBoxText,xpath for rent house type select box in rent tab in intention menu part,xpath,"//select[@id='rent-select']/option[1]"
mx_vns,landscape,Label,mHP_lblBedroomSelectBoxText,xpath for bedroom type select box in intention menu part,xpath,"//div[@id='bedroom-select']/div[@class='bolt-dropdown-box']"
mx_vns,portrait,Label,mHP_lblBedroomSelectBoxText,xpath for bedroom type select box in intention menu part,xpath,"//select[@id='bedroom-select']/option[1]"
mx_vns,All,TextField,mHP_txfPriceInputBox,xpath for price input box in intention menu part,xpath,"//div[@class='filter-wrapper common-filter-price-wrapper']//input"
mx_vns,landscape,Label,mHP_lblBuyHouseSelectBox,xpath for buy house type select box in buy tab in intention menu part,xpath,"//div[@id='buy-select']"
mx_vns,portrait,Label,mHP_lblBuyHouseSelectBox,xpath for buy house type select box in buy tab in intention menu part,xpath,"//select[@id='buy-select']"
mx_vns,All,Label,mHP_lblBuyHouseSelectBox_House,xpath for buy house type select box in buy tab in intention menu part,xpath,"//div[@id='buy-select']/ul/li[2]"
mx_vns,portrait,Label,mHP_lblRentHouseSelectBox,xpath for rent house type select box in rent tab in intention menu part,xpath,"//select[@id='rent-select']"
mx_vns,all,Label,mHP_lblRentHouseSelectBox_apartment,xpath for rent house type select box in rent tab in intention menu part,xpath,"//div[@id='rent-select']/ul/li[3]"
mx_vns,landscape,Label,mHP_lblRentHouseSelectBox,xpath for rent house type select box in rent tab in intention menu part,xpath,"//div[@id='rent-select']"
mx_vns,portrait,Label,mHP_lblBedroomSelectBox,xpath for bedroom type select box in intention menu part,xpath,"//select[@id='bedroom-select']"
mx_vns,landscape,Label,mHP_lblBedroomSelectBox,xpath for bedroom type select box in intention menu part,xpath,"//div[@id='bedroom-select']"
mx_vns,all,Label,mHP_lblBedroomSelectBox_3,xpath for bedroom type select box in intention menu part,xpath,"//div[@id='bedroom-select']/ul/li[5]"
mx_vns,all,Label,mHP_lblBedroomSelectBox_6,xpath for bedroom type select box in intention menu part,xpath,"//div[@id='bedroom-select']/ul/li[8]"
mx_vns,all,Label,mHP_lblBedroomSelectBox_1,xpath for bedroom type select box in intention menu part,xpath,"//div[@id='bedroom-select']/ul/li[3]"
mx_vns,landscape,Button,mHP_btnQuickPost,Button to quick post an ad on header of desktop,xpath,"//div[@class='headerV2']//div[contains(@class,'post-ad-button')]/a/span[@class='sudolink']"
mx_vns,portrait,Button,mHP_btnMobileOnlyPost,Button to quick post an ad on header of mobile,xpath,"//div[@class='mobile-only post-icon icon-post-button']/span"
mx_vns,portrait,Button,mHP_btnQuickPost,Button to hamburger post an ad on header of mobile,xpath,"//div[@class='hamburger-menu-btn-container']//span[@class='sudolink hamburger-post-ad']"
All,portrait,Link,mHP_lnkMobileMenu,the link of mobile menu,xpath,"//div[@class='mobile-only mobile-menu icon-hamburger']"
All,portrait,Label,mHP_pnlMenuContainer,the panel of menu container,xpath,"//div[@class='menu-container']"
mx_vns,All,TextField,mHP_txfH1TagHP,the h1 tag on homepage,xpath,"//div[@id='wrapper']/h1[contains(text(),'Sabemos de bienes raíces en México')]"
mx_vns,portrait,Button,mHP_btnDraftAdPost,Button to hamburger post draft ad on header of mobile,xpath,"//div[@class='hamburger-menu-btn-container']//span[@class='sudolink hamburger-draft-ad']"
